salesdate,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community
2010-06-18,289000,2072,2,2,1,1946,Armatage,Southwest
2010-01-19,222500,1932,3,2,1.2,1950,Armatage,Southwest
2010-02-26,235000,1926,2,2,1,1951,Armatage,Southwest
2010-06-21,294000,2236,3,2,1.2,1947,Armatage,Southwest
2010-07-30,369000,2475,3,2,1.5,1950,Armatage,Southwest
2010-05-26,282000,2844,3,2,1.5,1949,Armatage,Southwest
2010-05-07,440000,2710,4,3,2,1951,Armatage,Southwest
2010-07-09,217420,2064,3,1,1.2,1951,Armatage,Southwest
2010-05-26,239900,2298,3,2,1,1955,Armatage,Southwest
2010-05-21,205000,2530,3,2,1,1954,Armatage,Southwest
2010-07-29,635000,3092,5,4,2,1949,Armatage,Southwest
2010-08-09,260000,2355,5,2,1.2,1948,Armatage,Southwest
2010-12-16,185000,1756,3,2,1.2,1949,Armatage,Southwest
2010-04-23,215850,1442,2,1,1.2,1937,Armatage,Southwest
2010-05-25,369500,2563,3,3,1.2,1947,Armatage,Southwest
2010-02-18,284500,2816,3,2,1,1947,Armatage,Southwest
2010-06-18,274500,2168,3,2,1,1952,Armatage,Southwest
2010-06-24,190000,2097,4,1,1.2,1953,Armatage,Southwest
2010-04-29,204900,1952,3,2,1.2,1953,Armatage,Southwest
2010-04-23,248000,3936,3,4,2,2010,Armatage,Southwest
2010-05-21,173000,1536,2,1,1.2,1952,Armatage,Southwest
2010-05-27,229000,2646,2,3,1.2,1947,Armatage,Southwest
2010-09-23,276000,2256,2,2,1.2,1926,Armatage,Southwest
2010-05-28,375000,1970,3,1,1,1947,Armatage,Southwest
2010-06-01,225000,1794,4,2,1.2,1951,Armatage,Southwest
2010-08-13,310000,2206,3,2,1.5,1951,Armatage,Southwest
2010-06-15,208500,2239,3,2,1.2,1948,Armatage,Southwest
2010-06-08,135000,1540,2,1,1,1922,Audubon Park,Northeast
2010-11-05,128000,2172,4,2,2.2,1905,Audubon Park,Northeast
2010-03-18,194000,2532,3,1,1.2,1936,Audubon Park,Northeast
2010-06-29,172900,1864,2,2,1,1952,Audubon Park,Northeast
2010-07-01,163500,2184,3,2,2,1918,Audubon Park,Northeast
2010-10-22,310000,3372,4,2,1.2,1932,Audubon Park,Northeast
2010-08-20,212700,2246,4,1,1.2,1950,Audubon Park,Northeast
2010-05-04,225000,1684,3,1,1.7,1924,Audubon Park,Northeast
2010-11-04,158000,1906,3,1,1.2,1951,Audubon Park,Northeast
2010-01-06,160000,1925,3,1,1.2,1922,Audubon Park,Northeast
2010-10-29,243300,2724,4,3,1.2,1920,Audubon Park,Northeast
2010-04-29,216000,2288,4,2,2,1903,Audubon Park,Northeast
2010-06-10,94500,1200,2,2,1.5,1923,Audubon Park,Northeast
2010-10-14,210000,2328,4,2,2,1922,Audubon Park,Northeast
2010-02-26,184000,1633,2,1,1.2,1940,Audubon Park,Northeast
2010-06-23,280000,2996,5,3,1.5,1931,Audubon Park,Northeast
2010-04-28,299900,2887,3,2,1.5,1940,Audubon Park,Northeast
2010-07-16,242000,2405,3,2,1.2,1926,Audubon Park,Northeast
2010-07-29,187500,1830,2,2,1.2,1926,Audubon Park,Northeast
2010-03-02,213000,2066,3,2,1.7,1917,Audubon Park,Northeast
2010-06-23,217000,2062,3,1,1.7,1915,Audubon Park,Northeast
2010-06-04,185000,1884,2,1,1.2,1941,Audubon Park,Northeast
2010-04-01,241200,2762,4,3,1.5,1929,Audubon Park,Northeast
2010-11-18,272000,2482,4,3,1.7,1910,Audubon Park,Northeast
2010-04-23,152000,2016,3,2,1,1958,Audubon Park,Northeast
2010-06-18,167000,1960,4,2,1,1954,Audubon Park,Northeast
2010-08-26,172500,2784,4,2,1.5,1904,Audubon Park,Northeast
2010-07-01,295000,2362,3,2,1.5,1930,Audubon Park,Northeast
2010-06-11,196000,2532,2,2,1.5,1900,Audubon Park,Northeast
2010-09-30,244000,2443,3,2,2.2,1910,Audubon Park,Northeast
2010-06-10,165000,1922,3,1,1.2,1953,Audubon Park,Northeast
2010-04-27,173000,1566,2,1,1.5,1913,Audubon Park,Northeast
2010-03-03,165000,1666,3,1,1.2,1918,Audubon Park,Northeast
2010-09-28,205000,2609,3,2,1.5,1924,Audubon Park,Northeast
2010-03-12,197500,2376,3,2,1.2,1920,Bancroft,Powderhorn
2010-10-15,157250,2144,3,1,1.5,1942,Bancroft,Powderhorn
2010-09-22,212500,2308,4,2,1.2,1921,Bancroft,Powderhorn
2010-02-05,225000,1776,3,2,1.5,1912,Bancroft,Powderhorn
2010-08-31,177000,2070,3,2,1.7,1919,Bancroft,Powderhorn
2010-07-23,179900,1996,3,2,1,1926,Bancroft,Powderhorn
2010-12-22,130000,2146,3,2,1,1957,Bancroft,Powderhorn
2010-04-28,185000,2764,3,2,1.5,1911,Bancroft,Powderhorn
2010-07-29,159900,2328,4,1,1.2,1931,Bancroft,Powderhorn
2010-06-01,165000,1728,2,1,1.2,1920,Bancroft,Powderhorn
2010-09-20,166500,2392,2,1,1.2,1922,Bancroft,Powderhorn
2010-09-21,178750,2058,3,1,1,1920,Bancroft,Powderhorn
2010-03-23,150000,1960,4,2,1,1982,Beltrami,Northeast
2010-08-31,163000,2602,3,1,1,1907,Bottineau,Northeast
2010-08-05,140000,2990,4,2,1.2,1929,Bottineau,Northeast
2010-04-30,199000,2208,3,2,1,1957,Bottineau,Northeast
2010-08-20,168500,2880,2,2,1.7,1901,Bottineau,Northeast
2010-11-19,146500,1460,2,1,1.5,1906,Bryant,Powderhorn
2010-03-30,128000,1820,3,1,1.5,1910,Bryant,Powderhorn
2010-02-25,119900,1824,1,1,1,1915,Bryant,Powderhorn
2010-08-27,149500,1922,3,1,1.7,1915,Bryant,Powderhorn
2010-10-29,149000,1808,4,2,1,1954,Bryant,Powderhorn
2010-07-16,100000,1156,2,1,1.5,1900,Bryant,Powderhorn
2010-05-28,157000,1984,3,2,2,1919,Bryant,Powderhorn
2010-05-14,177000,1942,3,1,1.7,1916,Bryant,Powderhorn
2010-04-15,210000,2870,4,2,2.5,1910,Bryant,Powderhorn
2010-06-10,214000,2565,4,2,1.5,1922,Bryant,Powderhorn
2010-01-19,179900,2952,4,2,1.5,1937,Bryant,Powderhorn
2010-06-07,96900,1992,3,1,2,1922,Bryant,Powderhorn
2010-06-11,550000,6807,4,5,2,2011,Bryn - Mawr,Calhoun-Isles
2010-09-30,245000,1688,2,1,1,1956,Bryn - Mawr,Calhoun-Isles
2010-01-29,250000,2244,3,2,1.2,1948,Bryn - Mawr,Calhoun-Isles
2010-12-15,1000000,6157,3,5,2.5,2003,Bryn - Mawr,Calhoun-Isles
2010-03-05,335000,3294,3,3,2,1900,Bryn - Mawr,Calhoun-Isles
2010-04-01,555000,4392,4,4,1,1951,Bryn - Mawr,Calhoun-Isles
2010-03-15,724000,3832,4,4,2.2,2010,Bryn - Mawr,Calhoun-Isles
2010-06-30,382500,2724,4,3,1.2,1922,Bryn - Mawr,Calhoun-Isles
