direction,income
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,<50K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,50-100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Right Direction,>100K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
Wrong Direction,<50K
