saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2015,8,181426.60891557057,2000,4,2,1,1954,Shingle Creek,Camden,6260,0
2007,6,273706.4381327388,1680,2,1,1,1977,Bryn - Mawr,Calhoun-Isles,5400,0
2013,11,216413.56685177278,2112,3,1,1.2,1921,Standish,Powderhorn,5080,0
2012,6,609122.7949799583,2794,4,2,1.7,1921,Fulton,Southwest,5418,0
2010,7,222154.82181016062,1830,2,2,1.2,1926,Audubon Park,Northeast,5040,1
2006,12,313552.5750861645,1732,3,1,1,1948,Armatage,Southwest,5080,0
2014,2,341507.58871902426,2924,4,3,1,1955,Armatage,Southwest,10596,2
2013,2,303274.1728450182,2368,3,2,1.2,1919,King Field,Southwest,6174,1
2013,6,171923.33670330618,1127,2,1,1,1948,Columbia Park,Northeast,4305,1
2015,9,231229.36614203066,1627,2,2,1.2,1951,Armatage,Southwest,5080,0
2014,6,107593.76304108654,1800,2,1,1.2,1950,Victory,Camden,5020,0
2015,11,258022.2286643391,1778,3,2,1.2,1921,Standish,Powderhorn,4840,0
2014,4,212610.9240996668,1972,2,1,1.2,1921,Hiawatha,Longfellow,5040,1
2012,1,166343.90498678907,2128,4,2,1.2,1937,Victory,Camden,5126,1
2010,6,136509.65243854714,1166,1,1,1.2,1918,Ericsson,Nokomis,5560,0
2015,8,189550.18841925284,1980,3,1,2,1903,Marshall Terrace,Northeast,7380,0
2005,6,399314.4037170883,2324,4,2,1.2,1927,Fulton,Southwest,5418,1
2009,2,225454.33346653817,2686,3,2,1.2,1938,Page,Nokomis,6796,1
2013,6,757571.8643119879,4140,4,3,2,1926,Tangletown,Southwest,12000,2
2012,10,157217.90034450305,1856,5,2,1,1916,Como,University,5080,0
2009,8,294269.6354057881,2136,3,2,1,1955,Armatage,Southwest,6384,2
2014,7,227212.70579120665,1577,2,1,1.2,1925,Field,Nokomis,9144,1
2011,9,256006.91977387166,1770,3,2,1.2,1942,Hale,Nokomis,4928,1
2006,8,234040.43179587834,1180,2,1,1.5,1908,Longfellow,Longfellow,5922,0
2005,11,758765.2296819788,4400,3,6,2.5,1911,Tangletown,Southwest,12100,2
2005,8,303709.0464048955,2272,3,2,1,1995,Victory,Camden,5056,0
2014,10,257357.06524028137,2286,3,1,1.2,1938,Standish,Powderhorn,6300,0
2013,8,369856.66506750736,2226,3,2,2.2,1912,King Field,Southwest,3720,0
2015,3,367108.79072448047,2838,3,2,1.2,1934,Regina,Nokomis,4680,2
2007,5,311750.6227177094,2104,3,2,1.5,1918,King Field,Southwest,5480,1
2009,2,369696.62208222656,2182,3,3,1.2,1947,Armatage,Southwest,5842,0
2005,7,290895.31862493587,2665,5,5,2,1990,Midtown Phillips,Phillips,5738,0
2012,7,501289.9811890284,3218,4,2,2.2,1909,CARAG,Calhoun-Isles,5455,0
2011,12,176895.65580949112,1952,3,2,2,1900,Whittier,Powderhorn,3312,0
2015,6,699733.1448263674,3328,5,3,2.2,1925,Tangletown,Southwest,6120,2
2015,8,1431916.2805157271,4144,5,4,2.5,1925,Kenwood,Calhoun-Isles,5120,3
2007,11,379091.79733819026,2136,3,2,1,1953,Bryn - Mawr,Calhoun-Isles,5120,1
2015,11,249139.85135515532,2610,3,2,1.7,1909,Bancroft,Powderhorn,5350,1
2014,5,263354.4433094995,1922,3,1,1.2,1952,Kenny,Southwest,5080,0
2015,6,355833.28915201314,2585,3,2,1.5,1917,Bancroft,Powderhorn,5077,1
2013,11,104627.42417770185,864,2,1,1,1900,Field,Nokomis,5160,0
2014,4,245320.29703807706,2370,3,1,1.7,1941,Minnehaha,Nokomis,5504,2
2010,4,173085.9868539073,1884,3,2,1.2,1955,Holland,Northeast,5353,0
2015,4,189257.06157766847,1616,2,1,1,1912,Field,Nokomis,5124,0
2011,7,304271.09740677476,2626,4,2,1.2,1925,Northrop,Nokomis,5120,1
2015,1,203186.57959420144,3837,5,2,2.5,1900,Near - North,Near North,7281,0
2006,10,242627.83556215948,1836,3,1,1.7,1900,Midtown Phillips,Phillips,5282,0
2011,7,228775.26120810132,1596,2,2,1,1953,Northrop,Nokomis,6095,1
2015,11,239390.90064995358,2510,3,2,1.5,1921,Howe,Longfellow,5600,0
2009,6,294086.6893244565,2192,3,1,1.5,1926,Hale,Nokomis,5109,1
2012,4,196866.31440701263,2364,2,2,1.2,1910,Longfellow,Longfellow,6831,0
2015,9,325675.1635803249,1729,3,1,1.7,1920,Fulton,Southwest,5376,1
2010,11,127391.5205610456,2190,3,1,1.5,1928,Jordan,Near North,5365,0
2014,5,183912.81371613807,2275,3,1,1.2,1919,Tangletown,Southwest,5418,1
2010,7,733407.1184026103,3460,4,3,2,1932,Linden Hills,Southwest,6430,1
2009,1,250302.1615321824,2316,2,2,1.2,1931,Minnehaha,Nokomis,5120,1
2014,10,162884.2185065072,1602,3,1,1.5,1913,Corcoran,Powderhorn,4572,0
2011,10,284385.2729437707,2188,3,1,1.2,1923,Tangletown,Southwest,5000,1
2005,6,159725.7614868353,1824,2,2,1,1925,Folwell,Camden,7961,1
2014,6,402009.4237262415,2296,4,2,1.2,1939,Armatage,Southwest,6350,1
2009,5,242063.26107162642,1628,2,1,1,1941,Diamond Lake,Nokomis,6410,0
2011,6,269400.5391315178,2492,4,3,2,1939,Hale,Nokomis,8017,1
2012,12,236726.05515934975,1984,2,1,1.2,1947,Wenonah,Nokomis,4997,1
2015,6,298335.83694147447,2606,3,2,1.5,1907,Tangletown,Southwest,5796,1
2005,5,219603.19008264464,1498,4,2,1.7,1905,Central,Powderhorn,4920,0
2014,2,186077.85282767346,2038,4,2,1.7,1912,Northeast Park,Northeast,6250,0
2014,9,231141.24567852888,1456,2,1,1.2,1933,Hale,Nokomis,5109,0
