height,sex,age
160.6,1,157
140.1,1,128
168.6,1,182
140.1,1,148
161,2,183
150.6,2,130
150.8,2,157
140.3,2,126
138.6,2,117
169.7,2,192
161.2,1,164
127.7,2,107
170.2,1,188
158.1,2,164
168.1,2,172
138.4,2,113
148.9,2,134
157.3,2,163
151.7,1,191
139.4,1,123
131.7,1,114
162.2,1,168
160.1,2,169
154.2,2,179
157.2,2,189
142.6,2,136
137.1,2,112
150.1,1,114
156.6,2,182
173.8,1,170
164.3,2,187
151.5,1,152
145.3,1,148
167,1,153
150.8,1,158
142.9,1,131
137,1,136
154.4,1,161
136.3,2,140
143.8,2,148
143.1,1,129
154.2,1,167
159.1,2,177
134,2,101
160.7,2,191
157.9,2,175
138.5,2,112
153.3,2,145
161.3,2,181
146.2,1,136
156.6,1,157
133.6,2,109
155.9,2,155
133.6,1,106
139.9,2,120
140.4,2,150
158,2,164
146.8,2,160
146.7,1,138
154.5,1,151
147,1,113
147.3,1,187
173.4,1,171
151.4,2,159
154.7,2,160
146.4,1,157
145.1,2,143
151.6,1,146
151.1,2,147
161.6,2,174
158.3,2,184
127.5,2,111
138.9,1,129
171.5,1,187
152.8,2,137
146.1,1,159
137.9,1,100
138,1,117
154.1,1,145
163,1,165
134.6,1,120
140,1,124
145.6,2,143
160.7,1,172
149.7,2,168
172.3,1,167
155.6,1,154
159.9,2,153
143.3,1,117
135.3,2,119
160.2,2,154
164.4,1,175
175.9,1,163
127.1,2,105
169.7,2,164
154.7,2,160
132.7,1,108
169.6,2,176
143.6,2,116
123.8,1,100
150.6,1,167
140.2,1,116
163.3,2,192
143.7,1,137
166.9,2,180
129.7,1,113
128.5,1,104
131,1,105
139.7,2,136
134.3,2,114
146.2,1,125
155.8,1,162
146.5,1,157
164.6,1,161
162.6,1,166
165.1,2,161
173.1,2,173
141.1,2,133
125.8,2,110
132.2,2,116
152.4,1,152
157.7,1,148
172.7,1,189
151,2,165
137.7,1,116
138.7,1,127
145.2,1,142
168.1,2,164
149,2,104
161.5,2,164
161.8,2,167
142.1,1,133
175.1,2,179
133.9,1,109
145.3,1,134
141.6,1,132
143.4,2,124
169,2,162
159.5,1,183
138.3,1,138
164.5,1,158
142.4,2,114
150.7,2,146
141.1,1,138
142.5,2,145
185.4,1,189
148.5,2,127
129.4,1,105
159.1,1,155
136.6,2,106
144.5,2,120
141.4,2,122
144.1,2,132
134.5,1,134
148.4,1,157
155.2,2,147
136.1,1,105
126.4,2,105
144.4,1,158
130.6,2,114
139.4,1,110
159.6,2,170
171.3,2,180
175.4,1,192
162.9,1,175
157.7,2,158
168.5,1,164
155.4,2,144
144.1,1,123
146.1,2,160
138.5,2,118
143.4,1,109
139.4,1,116
143.6,1,155
152.7,1,148
155.2,2,166
153.1,1,133
145.6,1,157
177.6,1,182
126.3,2,131
174.3,2,169
177.4,1,183
153.2,2,189
141.1,2,129
162,2,178
123.9,2,103
164.4,1,170
135.9,1,146
136.3,2,117
144.4,1,169
157.6,2,172
152.6,1,168
149.2,2,147
151.5,1,173
139.9,1,145
184.6,1,176
160.8,2,150
159.5,2,190
148,1,156
155,2,163
150.4,2,115
143.3,2,125
133.6,1,117
155.6,2,156
178.9,1,161
159.8,2,167
128,1,112
155.9,2,174
160.8,2,150
136.1,1,105
129.2,2,128
149.9,2,132
132.9,1,118
158.9,2,149
137.8,1,137
143.3,1,113
135.8,1,101
136.1,2,151
144.4,1,138
144.3,1,129
142.4,2,114
165,1,166
141.4,1,145
132.7,1,112
155.3,1,161
146.2,2,142
167.9,1,183
152.9,1,150
151.5,2,152
134.4,1,101
146.5,1,117
165.1,2,158
148,1,145
170.8,1,181
175.8,1,163
130.5,1,105
141.2,1,147
152.6,1,147
152.4,2,130
149.7,2,135
166.9,2,140
138,1,110
135.1,1,135
132,1,135
142.6,1,118
160.8,2,184
129.9,2,105
169.2,1,161
127.1,1,108
142.6,1,134
163.8,2,189
164.4,2,186
169.4,1,143
152.4,1,151
129.6,2,110
157.8,1,148
167.9,1,174
137.9,1,117
136.6,1,120
156.3,1,160
153.7,2,173
138.7,1,112
161.6,2,152
149.8,1,135
148.7,1,141
159.5,2,155
165.4,2,176
157.6,2,153
178.2,1,188
140.4,2,116
154.9,1,183
138,1,116
133,2,111
146.2,2,129
158.3,1,178
133.8,1,122
169.4,1,155
130.6,1,125
140.9,2,140
165.7,2,160
160.6,2,141
136.5,2,127
131.2,1,104
132.1,2,136
143.5,2,134
137.3,2,114
133.2,2,108
160.1,2,175
133.5,2,136
130.8,1,117
145.8,1,130
147.2,2,119
141,2,132
138.7,2,122
133.4,2,136
155.6,1,155
149.5,1,144
126.5,2,120
162.2,2,156
137.4,1,113
154.6,1,132
151.5,1,151
138.2,1,126
149,1,142
161.7,2,154
149.7,1,143
161.3,1,163
142.8,1,146
164.6,2,180
156.4,1,169
150.6,2,153
161.9,2,176
173.8,1,185
159,2,154
151.6,2,129
176.4,1,188
156.1,2,152
151.5,2,156
158.7,1,170
164.5,2,154
136.4,1,150
147.2,1,144
136.2,2,115
127.1,1,110
161.1,2,161
129.9,1,113
148.3,2,141
154.6,2,153
132,1,101
162.3,2,188
146.8,1,141
162.9,1,162
137.5,1,143
139.6,2,110
128.2,2,111
129,2,106
142.2,1,109
154.6,1,177
129,2,105
151.9,2,170
140.4,1,129
132.2,1,102
138.6,1,123
142.6,1,130
132.9,1,114
147.5,1,153
172.4,1,147
172.2,2,181
153.6,2,168
171.9,1,178
